key,en,zh-Hans,zh-Hant,ar,de,es,fr,id,it,ja,ko,nl,pl,pt,ru,th,tr,vi
error.language_not_selected,Language not selected,未选择语言,還沒選語言耶,لم يتم اختيار اللغة,Sprache nicht ausgewählt,Idioma no seleccionado,Langue non sélectionnée,Bahasa belum dipilih,Lingua non selezionata,言語が選択されていません,언어가 선택되지 않았습니다,Taal niet geselecteerd,Nie wybrano języka,Idioma não selecionado,Язык не выбран,ไม่ได้เลือกภาษา,Dil seçilmedi,Chưa chọn ngôn ngữ
error.loading_failed,Loading failed,加载失败,載入失敗,فشل التحميل,Laden fehlgeschlagen,Error de carga,Échec du chargement,Gagal memuat,Caricamento fallito,読み込みに失敗しました,로딩 실패,Laden mislukt,Błąd ładowania,Falha no carregamento,Ошибка загрузки,โหลดล้มเหลว,Yükleme başarısız oldu,Tải không thành công
error.login,Login Error,登录错误,登錄錯誤,خطأ في تسجيل الدخول,Anmeldefehler,Error de inicio de sesión,Erreur de connexion,Kesalahan masuk,Errore di accesso,ログインエラー,로그인 오류,Inlogfout,Błąd logowania,Erro de login,Ошибка входа,ข้อผิดพลาดในการเข้าสู่ระบบ,Giriş hatası,Lỗi đăng nhập
error.occurred,An error occurred,发生错误,發生錯誤,حدث خطأ,Ein Fehler ist aufgetreten,Ocurrió un error,Une erreur est survenue,Terjadi kesalahan,Si è verificato un errore,エラーが発生しました,오류가 발생했습니다,Er is een fout opgetreden,Wystąpił błąd,Ocorreu um erro,Произошла ошибка,เกิดข้อผิดพลาด,Bir hata oluştu,Đã xảy ra lỗi
error.offline_mode_blocked,Network requests are blocked by Offline Mode,离线模式已阻止网络请求,離線模式已封鎖網路請求,تم حظر طلبات الشبكة بواسطة الوضع دون اتصال,Netzwerkanfragen werden durch den Offline-Modus blockiert,Las solicitudes de red están bloqueadas por el modo sin conexión,Les requêtes réseau sont bloquées par le mode hors ligne,Permintaan jaringan diblokir oleh Mode Offline,Le richieste di rete sono bloccate dalla modalità offline,オフラインモードによってネットワークリクエストがブロックされています,오프라인 모드로 인해 네트워크 요청이 차단되었습니다,Netwerkverzoeken worden geblokkeerd door de offlinemodus,Żądania sieciowe są blokowane przez tryb offline,As solicitações de rede estão bloqueadas pelo modo offline,Сетевые запросы блокируются офлайн-режимом,คำขอเครือข่ายถูกบล็อกโดยโหมดออฟไลน์,Ağ istekleri Çevrimdışı Mod tarafından engelleniyor,Các yêu cầu mạng bị chặn bởi Chế độ ngoại tuyến
error.passwords_do_not_match,Passwords do not match,密码不匹配,密碼不一樣耶,كلمات المرور غير متطابقة,Passwörter stimmen nicht überein,Las contraseñas no coinciden,Les mots de passe ne correspondent pas,Kata sandi tidak cocok,Le password non corrispondono,パスワードが一致しません,비밀번호가 일치하지 않습니다,Wachtwoorden komen niet overeen,Hasła nie są zgodne,Senhas não coincidem,Пароли не совпадают,รหัสผ่านไม่ตรงกัน,Şifreler uyuşmuyor,Mật khẩu không khớp
error.payment_problem,There was a problem with your payment.,您的付款出现问题。,您的付款出現問題。,كانت هناك مشكلة في الدفع الخاص بك.,Es gab ein Problem mit Ihrer Zahlung.,Hubo un problema con su pago.,Il y a eu un problème avec votre paiement.,Ada masalah dengan pembayaran Anda.,C'è stato un problema con il tuo pagamento.,お支払いに問題がありました。,결제에 문제가 있었습니다.,Er was een probleem met uw betaling.,Wystąpił problem z Twoją płatnością.,Houve um problema com o seu pagamento.,Возникла проблема с вашим платежом.,มีปัญหาเกี่ยวกับการชำระเงินของคุณ,Ödemenizle ilgili bir sorun oluştu.,Đã xảy ra sự cố với khoản thanh toán của bạn.
error.registration_failed,Registration failed,注册失败,註冊失敗啦,فشل التسجيل,Registrierung fehlgeschlagen,Error en el registro,Échec de l'inscription,Pendaftaran gagal,Registrazione fallita,登録に失敗しました,등록에 실패했습니다,Registratie mislukt,Rejestracja nie powiodła się,Falha no registro,Регистрация не удалась,การลงทะเบียนล้มเหลว,Kayıt başarısız,Đăng ký thất bại
error.something_went_wrong,Something went wrong. Please try again.,出了点问题，请重试。,出了點問題，請重試。,حدث خطأ ما. يرجى المحاولة مرة أخرى.,Etwas ist schief gelaufen. Bitte versuche es erneut.,Algo salió mal. Inténtelo de nuevo.,Quelque chose s'est mal passé. Veuillez réessayer.,Terjadi kesalahan. Silakan coba lagi.,Qualcosa è andato storto. Per favore riprova.,問題が発生しました。もう一度お試しください。,문제가 발생했습니다. 다시 시도해 주세요.,Er is iets misgegaan. Probeer het opnieuw.,Coś poszło nie tak. Spróbuj ponownie.,"Algo deu errado. Por favor, tente novamente.","Что-то пошло не так. Пожалуйста, попробуйте снова.",เกิดข้อผิดพลาดบางอย่าง กรุณาลองอีกครั้ง,Bir şeyler yanlış gitti. Lütfen tekrar deneyin.,Đã xảy ra lỗi. Vui lòng thử lại.
error.subs_search_failed,Subs search failed,字幕搜索失败,字幕搜尋失敗,فشل البحث في الترجمات,Untertitel-Suche fehlgeschlagen,Búsqueda de subtítulos fallida,Échec de la recherche de sous-titres,Pencarian subtitle gagal,Ricerca sottotitoli fallita,字幕検索に失敗しました,자막 검색 실패,Zoeken naar ondertitels mislukt,Wyszukiwanie napisów nie powiodło się,Pesquisa de legendas falhou,Поиск субтитров не удался,การค้นหาคำบรรยายล้มเหลว,Altyazı araması başarısız oldu,Tìm kiếm phụ đề thất bại
error.updating_progress,Error updating progress:,更新进度时出错：,更新進度時出錯啦：,خطأ في تحديث التقدم:,Fehler beim Aktualisieren des Fortschritts:,Error al actualizar el progreso:,Erreur lors de la mise à jour de la progression :,Kesalahan memperbarui kemajuan:,Errore durante l'aggiornamento dei progressi:,進行状況の更新中にエラーが発生しました:,진행 상황 업데이트 오류:,Fout bij het bijwerken van de voortgang:,Błąd podczas aktualizacji postępu:,Erro ao atualizar progresso:,Ошибка обновления прогресса:,ข้อผิดพลาดในการอัปเดตความคืบหน้า:,İlerleme güncellenirken hata:,Lỗi khi cập nhật tiến trình:
error.user_info_not_found,User info not found,未找到用户信息,找不到使用者資料耶,لم يتم العثور على معلومات المستخدم,Benutzerinformationen nicht gefunden,Información de usuario no encontrada,Informations utilisateur introuvables,Info pengguna tidak ditemukan,Informazioni utente non trovate,ユーザー情報が見つかりません,사용자 정보를 찾을 수 없습니다,Gebruikersinformatie niet gevonden,Nie znaleziono informacji o użytkowniku,Informações do usuário não encontradas,Информация о пользователе не найдена,ไม่พบข้อมูลผู้ใช้,Kullanıcı bilgisi bulunamadı,Không tìm thấy thông tin người dùng
error.verification_failed,Verification failed.,验证失败。,驗證失敗。,فشل التحقق.,Überprüfung fehlgeschlagen.,Verificación fallida.,La vérification a échoué.,Verifikasi gagal.,Verifica fallita.,確認に失敗しました。,인증에 실패했습니다.,Verificatie mislukt.,Weryfikacja nie powiodła się.,Verificação falhou.,Проверка не удалась.,การตรวจสอบล้มเหลว,Doğrulama başarısız oldu.,Xác minh thất bại.
family.afroasiatic,Afro-Asiatic,亚非语系,亞非語系,أفروآسيوية,Afroasiatisch,Afroasiático,Afro-asiatique,Afro-Asia,Afro-asiatico,アフロ・アジア語族,아프로아시아어족,Afro-Aziatisch,Afrykano-azjatyckie,Afro-asiática,Афразийская,แอโฟร-เอเชียติก,Afro-Asyatik,Phi-Á
family.austroasiatic,Austroasiatic,南亚语系,南亞語系,أوستروآسيوية,Austroasiatisch,Austroasiático,Austroasiatique,Austro-Asia,Austroasiatico,オーストロアジア語族,오스트로아시아어족,Austro-Aziatisch,Austroazjatyckie,Austro-asiática,Австроазиатская,ออสโตรเอเชียติก,Avustroasya,Nam Á
family.austronesian,Austronesian,南岛语系,南島語系,أسترونيزية,Austronesisch,Austronesio,Austronésien,Austronesia,Austronesiano,オーストロネシア語族,오스트로네시아어족,Austronesisch,Austronezyjskie,Austronésia,Австронезийская,ออสโตรนีเซียน,Avustronezya,Nam Đảo
family.constructed,Constructed,人工语言,人工語言,لغات اصطناعية,Konstruierte Sprachen,Lenguas construidas,Langues construites,Bahasa buatan,Lingue artificiali,人工言語,인공어,Kunsttalen,Języki sztuczne,Línguas artificiais,Искусственные языки,ภาษาประดิษฐ์,Yapay diller,Ngôn ngữ nhân tạo
family.dravidian,Dravidian,达罗毗荼语系,達羅毗荼語系,درافيدية,Dravidisch,Dravídico,Dravidien,Dravidia,Dravidico,ドラヴィダ語族,드라비다어족,Dravidisch,Drawidyjskie,Dravídica,Дравидийская,ดราวิเดียน,Dravid,Dravida
family.indoeuropean,Indo-European,印欧语系,印歐語系,هندو أوروبية,Indoeuropäisch,Indoeuropeo,Indo-européen,Indo-Eropa,Indoeuropeo,インド・ヨーロッパ語族,인도유럽어족,Indo-Europees,Indoeuropejskie,Indo-europeia,Индоевропейская,อินโด-ยูโรเปียน,Hint-Avrupa,Ấn-Âu
family.isolates,Isolates,孤立语言,孤立語言,لغات معزولة,Isolierte Sprachen,Lenguas aisladas,Langues isolées,Bahasa isolat,Lingue isolate,孤立言語,고립어,Geïsoleerde talen,Języki izolowane,Línguas isoladas,Изолированные языки,ภาษาโดดเดี่ยว,İzole diller,Ngôn ngữ tách biệt
family.kartvelian,Kartvelian,卡尔特维尔语系,卡爾特維爾語系,كارتفلية,Kartwelisch,Kartveliano,Kartvélien,Kartvelia,Cartvelico,カルトヴェリ語族,카르트벨리어족,Kartvelisch,Kartwelskie,Kartveliana,Картвельская,คาร์ทเวเลียน,Kartvel,Kartvel
family.mongolic,Mongolic,蒙古语族,蒙古語族,منغولية,Mongolisch,Mongólico,Mongole,Mongolik,Mongolo,モンゴル語族,몽골어족,Mongools,Mongolska,Mongólica,Монгольская,มองโกลิก,Moğol,Mông Cổ
family.nigercongo,Niger-Congo,尼日尔-刚果语系,尼日爾-剛果語系,نيجر-كونغو,Niger-Kongo,Níger-Congo,Niger-Congo,Niger-Kongo,Niger-Congo,ニジェール・コンゴ語族,니제르콩고어족,Niger-Congo,Nigero-kongijskie,Níger-Congo,Нигеро-конголезская,ไนเจอร์-คองโก,Nijer-Kongo,Niger-Congo
family.quechuan,Quechuan,克丘亚语系,克丘亞語系,كيشوا,Quechua,Quechua,Quechua,Quechua,Quechua,ケチュア語族,케추아어족,Quechua,Języki keczua,Quíchua,Кечуанская,เกชัว,Keçuva,Quechua
family.signlanguages,Sign languages,手语,手語,لغات الإشارة,Gebärdensprachen,Lenguas de señas,Langues des signes,Bahasa isyarat,Lingue dei segni,手話,수어,Gebarentalen,Języki migowe,Línguas de sinais,Жестовые языки,ภาษามือ,İşaret dilleri,Ngôn ngữ ký hiệu
family.sinotibetan,Sino-Tibetan,汉藏语系,漢藏語系,صينية تبتية,Sinotibetisch,Sino-tibetano,Sino-tibétain,Sino-Tibet,Sino-tibetano,シナ・チベット語族,중국티베트어족,Sino-Tibetaans,Sino-tybetańskie,Sino-tibetana,Сино-тибетская,จีน-ทิเบต,Çin-Tibet,Hán-Tạng
family.taikadai,Tai-Kadai,侗台语系,侗台語系,تاي كاداي,Tai-Kadai,Tai-kadai,Taï-kadaï,Tai-Kadai,Tai-Kadai,タイ・カダイ語族,타이카다이어족,Tai-Kadai,Taj-kadajskie,Tai-kadai,Тай-кадайская,ไท-กะได,Tai-Kadai,Tai-Kadai
family.turkic,Turkic,突厥语族,突厥語族,تركية,Turkisch,Túrquico,Turcique,Turkik,Turcico,チュルク語族,튀르크어족,Turkse,Tureckie,Túrquica,Тюркская,เตอร์กิก,Türkik,Turk
family.uralic,Uralic,乌拉尔语系,烏拉爾語系,أورالية,Uralisch,Urálico,Ouralien,Uralik,Uralico,ウラル語族,우랄어족,Oeraals,Uralskie,Uraliana,Уральская,อูราลิก,Ural,Ural
feature.ai_explain_desc,"Get clear, in-context AI explanations of words and grammar, with follow-up questions.",获取单词和语法的清晰上下文 AI 解释，并支持追问。,取得單字和文法的清晰上下文 AI 解釋，並可繼續追問。,احصل على شروحات ذكاء اصطناعي واضحة وسياقية للكلمات والقواعد، مع أسئلة متابعة.,"Erhalte klare, kontextbezogene KI-Erklärungen zu Wörtern und Grammatik, inklusive Rückfragen.","Obtén explicaciones de IA claras y contextuales de palabras y gramática, con preguntas de seguimiento.","Obtenez des explications IA claires et contextuelles sur les mots et la grammaire, avec questions de suivi.","Dapatkan penjelasan AI yang jelas dan sesuai konteks untuk kata dan tata bahasa, dengan pertanyaan lanjutan.","Ottieni spiegazioni AI chiare e contestuali di parole e grammatica, con domande di approfondimento.",単語や文法について、文脈に沿った分かりやすいAI解説とフォローアップ質問を利用できます。,단어와 문법에 대한 명확하고 맥락에 맞는 AI 설명과 후속 질문을 받아보세요.,"Krijg duidelijke, contextuele AI-uitleg over woorden en grammatica, met vervolgvragen.","Otrzymuj jasne, kontekstowe wyjaśnienia AI dotyczące słów i gramatyki, z pytaniami uzupełniającymi.","Obtenha explicações de IA claras e contextuais sobre palavras e gramática, com perguntas de acompanhamento.","Получайте понятные контекстные объяснения слов и грамматики от ИИ, с уточняющими вопросами.",รับคำอธิบายด้วย AI ที่ชัดเจนและเข้ากับบริบทสำหรับคำศัพท์และไวยากรณ์ พร้อมคำถามต่อเนื่อง,Kelimeler ve dil bilgisi için bağlam içinde net yapay zeka açıklamaları ve takip soruları alın.,"Nhận giải thích AI rõ ràng theo ngữ cảnh về từ vựng và ngữ pháp, kèm câu hỏi tiếp theo."
feature.corpus_desc,"Explore collocations, example sentences, related words, and learner mistakes from real language corpora.",从真实语料库中探索搭配、例句、相关词和常见学习者错误。,從真實語料庫中探索搭配、例句、相關詞和常見學習者錯誤。,استكشف المتلازمات اللفظية والجمل المثال والكلمات ذات الصلة والأخطاء الشائعة من مدونات لغوية حقيقية.,"Entdecke Kollokationen, Beispielsätze, verwandte Wörter und typische Lernfehler aus echten Sprachkorpora.","Explora colocaciones, frases de ejemplo, palabras relacionadas y errores comunes de aprendices en corpus reales.","Explorez collocations, exemples, mots apparentés et erreurs courantes d'apprenants dans de vrais corpus.","Jelajahi kolokasi, kalimat contoh, kata terkait, dan kesalahan pelajar dari korpus bahasa nyata.","Esplora collocazioni, frasi d'esempio, parole correlate ed errori tipici da corpora linguistici reali.",実際の言語コーパスから、コロケーション、例文、関連語、学習者によくある間違いを探せます。,"실제 언어 코퍼스에서 연어, 예문, 관련 단어, 학습자 오류를 탐색하세요.","Ontdek collocaties, voorbeeldzinnen, verwante woorden en veelgemaakte fouten uit echte corpora.","Poznawaj kolokacje, przykładowe zdania, słowa pokrewne i typowe błędy uczniów z prawdziwych korpusów.","Explore colocações, frases de exemplo, palavras relacionadas e erros comuns de aprendizes em corpora reais.","Изучайте коллокации, примеры, родственные слова и типичные ошибки учащихся на основе реальных корпусов.",สำรวจคำปรากฏร่วม ประโยคตัวอย่าง คำที่เกี่ยวข้อง และข้อผิดพลาดทั่วไปจากคลังข้อมูลภาษาจริง,"Gerçek dil derlemlerinden eşdizimleri, örnek cümleleri, ilgili kelimeleri ve öğrenci hatalarını keşfedin.","Khám phá cụm từ kết hợp, câu ví dụ, từ liên quan và lỗi người học từ kho ngữ liệu thực."
feature.dual_subtitles,Dual Subtitles,双语字幕,雙語字幕,ترجمات ثنائية,Zweisprachige Untertitel,Subtítulos duales,Sous-titres doubles,Subtitle Ganda,Doppi Sottotitoli,二か国語字幕,이중 자막,Dubbele ondertiteling,Podwójne napisy,Legendas Duplas,Двойные субтитры,คำบรรยายสองภาษา,Çift Altyazı,Phụ đề Song ngữ
feature.dual_subtitles_desc,Watch with subtitles in both your native and target language simultaneously.,同时以您的母语和目标语言显示字幕，边看边学。,同時觀看母語與目標語言的字幕。,شاهد مع ترجمات بلغتك الأم ولغة الهدف في وقت واحد.,Videos mit Untertiteln sowohl in Ihrer Muttersprache als auch in Ihrer Zielsprache gleichzeitig ansehen.,Vea con subtítulos tanto en su idioma nativo como en el idioma de destino simultáneamente.,Regardez avec des sous-titres dans votre langue maternelle et votre langue cible simultanément.,Tonton dengan subtitle dalam bahasa asli dan bahasa target Anda secara bersamaan.,Guarda con i sottotitoli sia nella tua lingua madre che in quella target contemporaneamente.,母語と目標言語の両方で字幕を同時に表示して視聴できます。,모국어와 목표 언어로 된 자막을 동시에 보며 시청하세요.,Bekijk met ondertitels in zowel je moedertaal als doeltaal tegelijkertijd.,Oglądaj z napisami w swoim języku ojczystym i docelowym jednocześnie.,Assista com legendas simultâneas no seu idioma nativo e no idioma alvo.,Смотрите видео с субтитрами на родном и изучаемом языке,รับชมพร้อมคำบรรยายทั้งภาษาพื้นเมืองและภาษาเป้าหมายพร้อมกัน,Hem ana dilinizde hem de hedef dilinizde aynı anda altyazılarla izleyin.,Xem với phụ đề bằng cả ngôn ngữ mẹ đẻ và ngôn ngữ mục tiêu cùng lúc.
feature.live_tv,Live TV,直播电视,直播電視,بث مباشر,Live-TV,TV en vivo,Télévision en direct,TV Langsung,TV in Diretta,ライブTV,실시간 TV,Live tv,Telewizja na żywo,TV ao Vivo,Прямой эфир,ทีวีสด,Canlı TV,TV Trực tiếp
feature.live_tv_desc,"Stream live TV channels from around the world in your target language — real broadcasts, no subtitles.",观看目标语言的世界各地直播电视频道——真实节目，无字幕干扰。,觀看目標語言的世界各地直播電視頻道——真實節目，無字幕干擾。,شاهد قنوات تلفزيونية مباشرة من جميع أنحاء العالم بلغتك المستهدفة — بث حقيقي بدون ترجمات.,"Sieh Live-TV-Sender aus aller Welt in deiner Zielsprache — echte Sendungen, ohne Untertitel.","Transmite canales de TV en vivo de todo el mundo en tu idioma objetivo: emisiones reales, sin subtítulos.","Regardez des chaînes de télévision en direct du monde entier dans votre langue cible — de vraies émissions, sans sous-titres.","Streaming saluran TV langsung dari seluruh dunia dalam bahasa target Anda — siaran asli, tanpa subtitle.","Guarda canali TV in diretta da tutto il mondo nella tua lingua target — trasmissioni reali, senza sottotitoli.",世界中のライブテレビチャンネルを目標言語で視聴できます。字幕なしの本物の放送です。,전 세계 라이브 TV 채널을 목표 언어로 시청하세요. 자막 없는 실제 방송입니다.,"Bekijk live-tv-zenders van over de hele wereld in je doeltaal — echte uitzendingen, zonder ondertitels.","Oglądaj kanały telewizyjne na żywo z całego świata w języku docelowym — prawdziwe transmisje, bez napisów.","Assista canais de TV ao vivo do mundo todo no seu idioma alvo — transmissões reais, sem legendas.","Смотрите прямые телеканалы со всего мира на изучаемом языке — настоящие трансляции, без субтитров.",รับชมช่องทีวีสดจากทั่วโลกในภาษาเป้าหมายของคุณ — การถ่ายทอดจริง ไม่มีคำบรรยาย,"Hedef dilinizde dünyanın her yerinden canlı TV kanallarını izleyin — gerçek yayınlar, altyazısız.","Xem các kênh TV trực tiếp trên khắp thế giới bằng ngôn ngữ mục tiêu — chương trình thực tế, không phụ đề."
feature.reading_desc,"Read web articles, notes, and EPUB books with tap-to-lookup definitions and translations.",阅读网页文章、笔记和 EPUB 电子书，支持点击查词和翻译。,閱讀網頁文章、筆記和 EPUB 電子書，支援點擊查字典和翻譯。,اقرأ مقالات الويب والملاحظات وكتب EPUB مع البحث بالضغط والترجمات.,"Lies Webartikel, Notizen und EPUB-Bücher mit Wörterbuch per Tipp und Übersetzungen.","Lee artículos web, notas y libros EPUB con diccionario táctil y traducciones.","Lisez des articles web, des notes et des livres EPUB avec dictionnaire tactile et traductions.","Baca artikel web, catatan, dan buku EPUB dengan kamus ketuk dan terjemahan.","Leggi articoli web, note e libri EPUB con dizionario tattile e traduzioni.",ウェブ記事、ノート、EPUB書籍を読みながら、タップ辞書と翻訳を利用できます。,"웹 기사, 메모, EPUB 책을 읽으며 탭 사전과 번역을 사용하세요.","Lees webartikelen, notities en EPUB-boeken met tik-woordenboek en vertalingen.","Czytaj artykuły internetowe, notatki i książki EPUB ze słownikiem po dotknięciu i tłumaczeniami.","Leia artigos da web, anotações e livros EPUB com dicionário ao tocar e traduções.","Читайте веб-статьи, заметки и книги EPUB со словарем по нажатию и переводами.",อ่านบทความเว็บ โน้ต และหนังสือ EPUB พร้อมค้นหาคำศัพท์และคำแปลแบบแตะ,"Dokun-sözlük ve çevirilerle web makaleleri, notlar ve EPUB kitapları okuyun.","Đọc bài viết web, ghi chú và sách EPUB với tra từ khi chạm và bản dịch."
feature.review_desc,Turn saved words into flashcards with context and spaced repetition scheduling.,将收藏的单词变成带有上下文的闪卡，并按间隔重复安排复习。,將收藏的單字變成附帶上下文的閃卡，並依間隔重複安排複習。,حوّل الكلمات المحفوظة إلى بطاقات تعليمية مع السياق وجدولة التكرار المتباعد.,Mache aus gespeicherten Wörtern Karteikarten mit Kontext und zeitlich verteilter Wiederholung.,Convierte las palabras guardadas en tarjetas con contexto y repaso espaciado.,Transformez les mots enregistrés en cartes mémoire avec contexte et répétition espacée.,Ubah kata tersimpan menjadi kartu hafalan dengan konteks dan jadwal pengulangan berjarak.,Trasforma le parole salvate in flashcard con contesto e ripetizione dilazionata.,保存した単語を、文脈付きのフラッシュカードにして間隔反復で復習できます。,저장한 단어를 문맥과 함께 플래시카드로 만들어 간격 반복 복습하세요.,Maak van opgeslagen woorden flashcards met context en gespreide herhaling.,Zamieniaj zapisane słowa w fiszki z kontekstem i powtórkami w odstępach czasu.,Transforme palavras salvas em flashcards com contexto e revisão espaçada.,Превращайте сохраненные слова в карточки с контекстом и интервальным повторением.,เปลี่ยนคำที่บันทึกให้เป็นการ์ดคำศัพท์พร้อมบริบทและการทบทวนแบบเว้นช่วง,Kaydedilen kelimeleri bağlam ve aralıklı tekrar ile bilgi kartlarına dönüştürün.,Biến từ đã lưu thành thẻ ghi nhớ có ngữ cảnh và lịch ôn tập ngắt quãng.
feature.see_all_subtitles,See all subtitles search results beyond the first three.,查看前三个之外的所有字幕搜索结果。,看到第三個之後的所有字幕搜尋結果。,عرض جميع نتائج البحث في الترجمات بعد الثلاثة الأولى.,Alle Untertitel-Suchergebnisse über die ersten drei hinaus anzeigen.,Ver todos los resultados de búsqueda de subtítulos más allá de los tres primeros.,Voir tous les résultats de recherche de sous-titres au-delà des trois premiers.,Lihat semua hasil pencarian subtitle di luar tiga pertama.,Visualizza tutti i risultati di ricerca dei sottotitoli oltre i primi tre.,最初の3つ以外のすべての字幕検索結果を表示します。,처음 세 개 이후의 모든 자막 검색 결과를 봅니다.,Bekijk alle zoekresultaten voor ondertitels na de eerste drie.,Zobacz wszystkie wyniki wyszukiwania napisów poza pierwszymi trzema.,Veja todos os resultados de pesquisa de legendas além dos três primeiros.,Просмотреть все результаты поиска субтитров за пределами первых трех.,ดูผลการค้นหาคำบรรยายทั้งหมดนอกเหนือจากสามรายการแรก,İlk üçten sonraki tüm altyazı arama sonuçlarını görün.,Xem tất cả kết quả tìm kiếm phụ đề ngoài ba kết quả đầu tiên.
feature.smart_difficulty,Smart Difficulty,智能难度,智慧難度分級,صعوبة ذكية,Intelligenter Schwierigkeitsgrad,Dificultad inteligente,Difficulté intelligente,Kesulitan Cerdas,Difficoltà Intelligente,スマート難易度,스마트 난이도,Slimme moeilijkheidsgraad,Inteligentny poziom trudności,Dificuldade Inteligente,Умная сложность,ระดับความยากอัจฉริยะ,Akıllı Zorluk,Độ khó Thông minh
feature.smart_difficulty_desc,Videos are automatically ranked by difficulty so you always find content at the right level.,视频按难度自动排序，确保您始终找到适合自己水平的内容。,影片會自動依難度排序，讓你永遠找到適合程度的內容。,يتم ترتيب الفيديوهات تلقائيًا حسب الصعوبة لتجد دائمًا محتوى بالمستوى المناسب.,"Videos werden automatisch nach Schwierigkeitsgrad sortiert, sodass Sie stets Inhalte auf dem passenden Niveau finden.",Los videos se clasifican automáticamente por dificultad para que siempre encuentres contenido al nivel adecuado.,Les vidéos sont automatiquement classées par difficulté pour que vous trouviez toujours du contenu au bon niveau.,Video secara otomatis diurutkan berdasarkan tingkat kesulitan sehingga Anda selalu menemukan konten di level yang tepat.,"I video sono automaticamente classificati per difficoltà, così trovi sempre contenuti al livello giusto.",動画は自動的に難易度順に並べられるため、常に適切なレベルのコンテンツを見つけられます。,동영상이 자동으로 난이도별로 정렬되어 항상 적절한 수준의 콘텐츠를 찾을 수 있습니다.,"Video's worden automatisch gerangschikt op moeilijkheidsgraad, zodat je altijd inhoud op het juiste niveau vindt.","Filmy są automatycznie sortowane według trudności, abyś zawsze znajdował treści na odpowiednim poziomie.","Os vídeos são classificados automaticamente por dificuldade, para que você sempre encontre conteúdo no nível certo.","Видео автоматически ранжируются по сложности, чтобы вы всегда",วิดีโอจะถูกจัดเรียงตามระดับความยากโดยอัตโนมัติ คุณจึงค้นหาเนื้อหาที่เหมาะสมได้เสมอ,"Videolar otomatik olarak zorluğa göre sıralanır, böylece her zaman doğru seviyede içerik bulursunuz.",Video được tự động xếp hạng theo độ khó để bạn luôn tìm thấy nội dung ở trình độ phù hợp.
feature.tap_to_dictionary,Tap-to-Dictionary,点击查词,點擊查字典,انقر للقاموس,Tippen zum Wörterbuch,Diccionario táctil,Dictionnaire tactile,Ketuk-ke-Kamus,Tocca per Dizionario,タップ辞書,탭하여 사전 찾기,Tik-woordenboek,Słownik po dotknięciu,Dicionário ao Tocar,Tap-to-Dictionary,แตะเพื่อดูพจนานุกรม,Dokun-Sözlük,Tra từ điển bằng cách chạm
feature.tap_to_dictionary_desc,Tap any word in the subtitles for an instant dictionary lookup with definitions and examples.,点击字幕中的任意单词，即可查看释义、例句和发音。,點擊字幕中的任何單字，即可即時查詢字典，附帶定義與例句。,انقر على أي كلمة في الترجمة للبحث الفوري في القاموس مع التعريفات والأمثلة.,"Tippen Sie auf ein beliebiges Wort in den Untertiteln, um sofort eine Wörterbuchsuche mit Definitionen und Beispielen zu erhalten.",Toque cualquier palabra en los subtítulos para obtener una consulta instantánea al diccionario con definiciones y ejemplos.,Touchez un mot dans les sous-titres pour une consultation instantanée du dictionnaire avec définitions et exemples.,Ketuk kata apa pun di subtitle untuk mencari kamus instan dengan definisi dan contoh.,Tocca qualsiasi parola nei sottotitoli per una consultazione immediata del dizionario con definizioni ed esempi.,字幕内の任意の単語をタップすると、定義や例文付きで即座に辞書を引けます。,자막의 단어를 탭하면 정의와 예문이 포함된 사전을 즉시 확인할 수 있습니다.,Tik op een woord in de ondertitels voor een directe woordenboekopzoekactie met definities en voorbeelden.,"Dotknij dowolne słowo w napisach, aby natychmiast sprawdzić je w słowniku z definicjami i przykładami.",Toque em qualquer palavra nas legendas para uma consulta instantânea no dicionário com definições e exemplos.,Нажмите на любое слово в субтитрах для мгновенного просмотра в словаре,แตะคำใดก็ได้ในคำบรรยายเพื่อค้นหาพจนานุกรมทันที พร้อมคำจำกัดความและตัวอย่าง,"Altyazılardaki herhangi bir kelimeye dokunarak anlık sözlük sorgulaması yapın, tanımları ve örnekleri görün.",Chạm vào bất kỳ từ nào trong phụ đề để tra từ điển tức thì với định nghĩa và ví dụ.
feature.use_all_ai,Use all AI features throughout the app.,在整个应用中使用所有人工智能功能。,在整個APP裡使用所有AI功能。,استخدام جميع ميزات الذكاء الاصطناعي في جميع أنحاء التطبيق.,Alle KI-Funktionen in der gesamten App nutzen.,Usar todas las funciones de IA en toda la aplicación.,Utilisez toutes les fonctionnalités d'IA dans l'application.,Gunakan semua fitur AI di seluruh aplikasi.,Usa tutte le funzioni di IA in tutta l'app.,アプリ全体でAI機能を使用します。,앱 전체에서 모든 AI 기능을 사용합니다.,Gebruik alle AI-functies in de hele app.,Korzystaj ze wszystkich funkcji AI w całej aplikacji.,Use todos os recursos de IA em todo o aplicativo.,Используйте все функции ИИ в приложении.,ใช้ฟีเจอร์ AI ทั้งหมดในแอป,Uygulama genelinde tüm AI özelliklerini kullanın.,Sử dụng tất cả tính năng AI trong toàn bộ ứng dụng.
